district,latitude,longitude
Bagalakote,16.7,75.75
Ballari,15.15,76.85
Bangalore Rural,13.1979,77.7063
Belagavi,15.85,74.5333
Bengaluru urban,12.9667,77.5833
Bidar,17.9167,77.5333
Chamarajanagar,11.9333,76.9333
Chikkaballapura,13.6667,77.9167
Chikkamagaluru,13.25,75.75
Chitradurga,14.2333,76.4333
Dakshina Kannada,12.9167,74.8833
Davanagere,14.5,75.9167
Dharwad,15.4833,74.9833
Gadag,15.4167,75.6333
Hassan,13.0,76.15
Haveri,14.7833,75.4
Kalaburagi,17.35,76.85
Kodagu,12.4167,75.7333
Koppal,15.35,76.15
Latur,18.0667,77.1167
Mandya,12.5,76.8333
Mysuru,12.3,76.7
Raichur,16.2,77.35
Shivamogga,13.5,75.0833
Uttara Kannada,14.7833,74.1333
Vijayapura,16.8167,75.7167
