district,N,P,K,ph,temperature,min_temp,max_temp,rainfall,wind_speed,air_pressure
Bagalakote,33.446888888888886,60.60211111111111,55.92877777777778,7.1949,26.101678979180658,21.333579583613165,31.444325050369375,2.289724647414372,14.883478844862324,1010.0644728005373
Ballari,44.620999999999995,54.0304,48.8012,7.4643,26.290161182001345,21.56877098723976,31.768535930154464,1.9904633982538618,13.676259234385494,1010.7315312290127
Bangalore Rural,22.233,66.33125,49.29875,6.77245,24.15186789388197,19.64556790458119,29.530192255618736,3.918328220858896,12.663126031920749,1013.9902054467271
Belagavi,21.84733333333333,50.60306666666667,48.23386666666667,7.602166666666666,24.113445378151262,18.763390070921986,30.556017236072638,4.546506941334528,12.316218938885157,1010.6693418401611
Bengaluru urban,21.852800000000002,63.35699999999999,49.1084,6.928780000000001,24.18515159718462,19.539970181621033,30.282250203086925,4.52726226993865,11.32094111172262,1012.5145007166747
Bidar,36.285875,47.85175,79.58500000000001,7.0013875,25.42303559435863,20.792545332437875,30.930691739422432,2.53619879113499,10.996977837474816,1009.974479516454
Chamarajanagar,54.998799999999996,66.3264,45.261199999999995,7.015179999999999,24.250041562759765,19.52917705735661,30.16882793017456,2.950540315876974,11.126184538653366,1011.1372402327515
Chikkaballapura,20.726833333333335,73.40233333333333,59.405166666666666,6.9663,23.65421930267812,19.024355735219807,29.385346134411318,2.825972713491663,12.34967155128853,1011.2943911066195
Chikkamagaluru,26.38266666666667,70.59077777777777,54.25077777777778,6.784677777777778,27.430621642363775,22.700076745970836,32.769224865694554,5.115272448196469,11.58273215656178,1012.464313123561
Chitradurga,21.633499999999998,73.49083333333333,59.691833333333335,7.000366666666667,25.368997289972903,19.88793302540416,31.434630956088448,3.6771509167842034,12.861316319677636,1010.5676292813969
Dakshina Kannada,21.074444444444442,54.67388888888889,40.898888888888884,6.7683333333333335,27.426800216567408,23.86661184210526,31.933099366914394,14.707142857142857,9.308819932742281,1009.5011939810271
Davanagere,48.95616666666667,75.03466666666667,70.832,6.998483333333333,25.32491605104097,20.749832102081935,31.018737407656147,3.1622565480188047,12.257018132975151,1010.5407656145063
Dharwad,48.91942857142857,51.329142857142855,61.29557142857143,7.492742857142857,24.318535930154468,19.95003357958361,29.988381464069843,2.956749496306246,12.820214909335125,1010.7479516453996
Gadag,49.398857142857146,52.86828571428571,63.27285714285714,7.001857142857142,25.631852654387867,20.09425646858118,32.07569892473118,3.0911617312072894,11.286030893216925,1009.5278038952316
Hassan,55.81075,77.84049999999999,57.8955,6.9474625,22.460887096774197,18.15638440860215,28.318212365591396,3.160551075268817,12.242002688172041,1011.8780241935484
Haveri,40.985375,50.600375,53.452125,7.0832625,25.033915379449294,20.518535930154464,30.84848891873741,2.8346541302887847,12.784217595701813,1010.5364002686366
Kalaburagi,25.430545454545452,78.82409090909091,79.871,7.003854545454545,27.488042865200228,21.684447072738024,33.660317460317465,2.7529107373868045,10.171591672263263,1009.3398253861652
Kodagu,49.8848,64.0022,59.7922,6.9931399999999995,20.22768817204301,16.84173387096774,25.5247311827957,6.769422043010753,9.896370967741936,1012.3278897849461
Koppal,56.537571428571425,77.739,65.40071428571429,7.073442857142857,25.941773002014777,21.10416386836803,31.679852249832106,2.34331766286098,12.971994627266621,1010.1500335795836
Mandya,25.516428571428573,69.69728571428571,56.02014285714286,6.9464,24.377904633982535,19.68153122901276,30.321087978509066,3.3190860215053766,11.038482202820685,1011.0226326393553
Mysuru,20.17233333333333,73.1561111111111,59.38733333333333,6.899777777777778,24.348220282068503,19.547212894560108,30.358831430490262,3.263709677419355,11.017797179314977,1012.3809267965077
Raichur,20.051714285714286,49.75685714285714,48.16171428571429,7.0540714285714285,27.20349227669577,22.350167897918066,32.76165211551377,2.737273337810611,11.37951645399597,1009.4524513096037
Shivamogga,27.48671428571429,56.98014285714286,61.59128571428572,6.830057142857143,23.530023801428086,19.504624277456646,29.289459367562056,7.430805848350901,9.179190751445086,1010.9190751445087
Uttara Kannada,25.21591666666667,53.060583333333334,44.70916666666667,6.8471,27.85535142264933,23.535271677492524,32.291889649450326,15.268585268556775,13.113722856503246,1009.22905753302
Vijayapura,20.87823076923077,75.84984615384616,61.06746153846154,7.228007692307693,26.25413028878442,21.40033579583613,31.60899932840833,2.221423774345198,15.219408999328408,1009.9506380120887
