district,season,temperature,rainfall
Bagalakote,Monsoon,24.51194444444444,5.172222222222223
Bagalakote,Post-monsoon,24.61844262295082,2.430327868852459
Bagalakote,Summer,29.24696132596685,2.3834254143646407
Bagalakote,Winter,25.710898661567875,0.1751434034416826
Ballari,Monsoon,25.42513888888889,3.716527777777778
Ballari,Post-monsoon,24.83360655737705,3.795286885245901
Ballari,Summer,29.05151098901099,1.5876373626373623
Ballari,Winter,25.640786948176583,0.2339731285988484
Bangalore Rural,Monsoon,24.06467391304348,4.871428571428572
Bangalore Rural,Post-monsoon,22.961967213114757,5.9542528735632185
Bangalore Rural,Summer,26.603626373626373,4.126375176304654
Bangalore Rural,Winter,23.015470494417865,1.0228209191759112
Belagavi,Monsoon,23.059105779716468,7.834093711467324
Belagavi,Post-monsoon,23.448606557377047,4.135135135135135
Belagavi,Summer,26.322472527472527,4.160603290676416
Belagavi,Winter,23.603993610223643,0.2694649446494465
Bengaluru urban,Monsoon,23.87586956521739,5.65858343337335
Bengaluru urban,Post-monsoon,23.310327868852458,6.353218390804598
Bengaluru urban,Summer,26.333626373626373,5.126375176304654
Bengaluru urban,Winter,23.278508771929825,1.1018225039619651
Bidar,Monsoon,24.60833333333333,7.320277777777778
Bidar,Post-monsoon,23.62991803278689,1.693032786885246
Bidar,Summer,29.38314917127072,1.8306629834254144
Bidar,Winter,24.079349904397706,0.1248565965583173
Chamarajanagar,Monsoon,23.83582089552239,4.576119402985075
Chamarajanagar,Post-monsoon,22.69344262295082,5.789071038251366
Chamarajanagar,Summer,25.99372693726937,3.6793357933579336
Chamarajanagar,Winter,24.09064449064449,0.5542619542619543
Chikkaballapura,Monsoon,23.97057522123894,4.149336283185841
Chikkaballapura,Post-monsoon,22.32295081967213,6.565573770491803
Chikkaballapura,Summer,26.31591836734694,2.5453061224489795
Chikkaballapura,Winter,22.2318306010929,0.6385245901639345
Chikkamagaluru,Monsoon,26.5287323943662,10.891549295774649
Chikkamagaluru,Post-monsoon,26.817213114754097,5.343852459016394
Chikkamagaluru,Summer,29.064575645756456,4.833210332103321
Chikkamagaluru,Winter,27.49307159353349,0.4272517321016166
Chitradurga,Monsoon,24.47799564270153,4.301296829971181
Chitradurga,Post-monsoon,24.28163934426229,6.404748603351956
Chitradurga,Summer,27.82340659340659,3.661877394636016
Chitradurga,Winter,24.768130990415337,1.1424954792043398
Dakshina Kannada,Monsoon,26.147554347826087,24.640749148694667
Dakshina Kannada,Post-monsoon,27.278442622950816,7.872365038560411
Dakshina Kannada,Summer,28.45357142857143,16.92255192878338
Dakshina Kannada,Winter,27.692384370015947,1.0387387387387388
Davanagere,Monsoon,24.05388888888889,6.099166666666666
Davanagere,Post-monsoon,24.237704918032787,4.8881147540983605
Davanagere,Summer,27.44723756906077,3.037292817679558
Davanagere,Winter,25.23804971319312,0.4219885277246654
Dharwad,Monsoon,22.919444444444444,5.946944444444445
Dharwad,Post-monsoon,23.56434426229508,3.5905737704918037
Dharwad,Summer,26.348618784530387,3.4814917127071823
Dharwad,Winter,24.2282982791587,0.2395793499043977
Gadag,Monsoon,24.62684782608696,4.474833555259654
Gadag,Post-monsoon,24.760491803278686,4.41717791411043
Gadag,Summer,28.04719471947195,3.2042477876106195
Gadag,Winter,25.041739824421388,0.3148282097649186
Hassan,Monsoon,21.74,5.190555555555555
Hassan,Post-monsoon,21.613524590163934,4.870081967213115
Hassan,Summer,24.123204419889504,3.762154696132597
Hassan,Winter,22.201340996168582,0.5442528735632184
Haveri,Monsoon,23.79555555555556,5.325
Haveri,Post-monsoon,24.20450819672131,4.179508196721312
Haveri,Summer,27.066022099447512,3.1226519337016576
Haveri,Winter,24.86673040152964,0.2936902485659656
Kalaburagi,Monsoon,26.388589211618257,6.73025
Kalaburagi,Post-monsoon,25.943416370106764,2.1052
Kalaburagi,Summer,31.16485148514852,2.611320754716981
Kalaburagi,Winter,26.627557755775577,0.131047619047619
Kodagu,Monsoon,19.26833333333333,15.588333333333336
Kodagu,Post-monsoon,19.769262295081965,5.940573770491803
Kodagu,Summer,21.23038674033149,7.323756906077348
Kodagu,Winter,20.40823754789272,0.6904214559386973
Koppal,Monsoon,24.93027777777778,5.014722222222222
Koppal,Post-monsoon,24.780327868852456,3.387295081967213
Koppal,Summer,28.749723756906075,2.0212707182320444
Koppal,Winter,25.23632887189293,0.2403441682600382
Latur,Monsoon,24.951944444444447,7.477222222222223
Latur,Post-monsoon,23.80122950819672,1.6098360655737705
Latur,Summer,29.914364640883974,1.7732044198895027
Latur,Winter,24.398279158699808,0.1130019120458891
Mandya,Monsoon,24.079722222222223,4.603888888888889
Mandya,Post-monsoon,23.06639344262295,6.37172131147541
Mandya,Summer,26.245454545454542,3.881491712707182
Mandya,Winter,23.897892720306515,0.6160919540229886
Mysuru,Monsoon,23.77111111111111,4.6525
Mysuru,Post-monsoon,23.53237704918033,5.743032786885245
Mysuru,Summer,25.97107438016529,3.9259668508287295
Mysuru,Winter,23.99904214559387,0.6877394636015326
Raichur,Monsoon,26.35833333333333,6.448611111111111
Raichur,Post-monsoon,25.343852459016396,2.971311475409836
Raichur,Summer,30.921270718232044,2.616298342541437
Raichur,Winter,26.079541108986614,0.15717017208413
Shivamogga,Monsoon,22.31055555555556,17.573611111111113
Shivamogga,Post-monsoon,23.00040983606557,5.957991803278689
Shivamogga,Summer,24.848342541436462,7.527624309392265
Shivamogga,Winter,23.71040634291377,0.83597621407334
Uttara Kannada,Monsoon,26.684557153671463,25.773479795998437
Uttara Kannada,Post-monsoon,27.935073779795687,7.461388888888889
Uttara Kannada,Summer,29.24922898997687,18.408031674208143
Uttara Kannada,Winter,27.672013274336283,0.5363131935881628
Vijayapura,Monsoon,24.656944444444445,4.818333333333333
Vijayapura,Post-monsoon,24.71844262295082,2.334016393442623
Vijayapura,Summer,29.43756906077348,2.544475138121547
Vijayapura,Winter,25.866539196940728,0.1577437858508604
